"customer_status","age","dependents","education","marital_status","employment_status","income","card_type","months_since_first_account","total_accounts","months_inactive_last_year","contacted_last_year","credit_limit","utilization_ratio","spend_ratio_q4_q1","total_spend_last_year","transactions_last_year","transaction_ratio_q4_q1"
"closed_account",54,2,"masters","married","full_time",39316,"blue",46,5,3,2,1695,0.539,0.449,2130,48,0.5
"closed_account",49,1,"associates","single","part_time",161056,"gold",30,5,3,3,5181,0,0.83,8943,68,1
"active",30,1,"associates","married","self_employed",69313,"blue",17,3,3,2,7906,0.206,0.889,1946,45,0.552
"closed_account",53,4,"masters","married","part_time",35429,"blue",37,3,2,3,1722,0,0.863,2141,35,0.346
"closed_account",47,3,"masters","divorced","full_time",35732,"blue",40,4,4,3,6397,0,0.632,2511,56,0.556
"active",42,3,"associates","married","full_time",34799,"gold",30,3,2,1,3549,0,0.584,3921,63,0.8
"closed_account",49,2,"associates","married","part_time",95991,"blue",43,1,3,3,5701,0.442,0.716,961,32,0.524
"active",48,3,"bachelors","single","full_time",56764,"gold",38,3,3,3,6448,0.169,0.868,4990,85,0.667
"active",51,4,"associates","married","part_time",85147,"silver",47,4,3,2,3861,0.161,0.794,4816,81,0.976
"active",43,3,"bachelors","single","self_employed",53301,"blue",23,6,2,2,4559,0.365,0.871,1652,37,0.609
"active",59,2,"associates","married","full_time",50153,"gold",50,6,3,2,2701,0.582,0.475,1469,36,0.5
"closed_account",33,2,"masters","married","full_time",136471,"gold",21,2,2,4,27992,0,0.433,837,18,1
"active",49,4,"doctorate","single","part_time",37301,"blue",42,5,1,4,7789,0.123,0.724,3412,70,0.842
"active",41,1,"masters","married","part_time",113055,"silver",30,3,3,2,34516,0.061,0.703,6832,87,0.706
"active",35,2,"bachelors","married","part_time",36867,"silver",18,3,3,2,5779,0.436,1.201,2102,32,1.133
"closed_account",47,3,"associates","single","part_time",47328,"blue",39,4,3,1,1809,0.253,0.703,2169,49,0.485
"closed_account",57,4,"associates","divorced","part_time",133477,"blue",36,2,2,3,13694,0.162,1.078,9040,63,0.8
"active",38,1,"associates","single","full_time",98575,"blue",29,2,2,3,10972,0,0.697,4401,73,0.698
"active",53,2,"bachelors","married","part_time",47259,"blue",33,3,3,1,4065,0.536,0.321,1271,36,0.2
"closed_account",42,3,"masters","married","part_time",110708,"blue",36,1,1,3,34516,0.023,0.803,853,12,0.091
"active",43,3,"masters","married","full_time",52641,"silver",33,6,1,2,4402,0.373,0.719,1774,46,1
"active",51,1,"masters","single","self_employed",34327,"silver",42,4,3,3,3236,0,0.797,3952,80,0.739
"closed_account",51,2,"masters","single","full_time",161521,"silver",42,2,4,2,14938,0,0.758,8192,80,0.778
"active",48,3,"associates","single","full_time",47540,"gold",36,6,3,2,3786,0,0.715,3403,70,0.489
"closed_account",37,2,"associates","single","part_time",35016,"blue",25,3,2,4,1690,0,0.69,2645,60,0.622
"closed_account",41,3,"masters","single","full_time",50497,"blue",31,4,3,2,5655,0.204,0.702,2189,51,0.7
"active",33,1,"masters","single","full_time",53911,"gold",18,2,2,3,3043,0.675,0.735,4833,85,0.667
"closed_account",45,3,"associates","divorced","full_time",35637,"blue",34,4,3,1,3223,0.075,0.433,1979,38,0.462
"closed_account",47,3,"doctorate","married","self_employed",37182,"blue",35,2,3,2,4779,0.527,0.929,8912,63,0.658
"closed_account",52,1,"masters","single","part_time",35607,"gold",40,1,2,2,2317,0,1.005,884,19,0.727
"closed_account",57,1,"masters","married","full_time",108383,"blue",36,4,3,3,23714,0,0.981,8463,62,0.824
"active",37,2,"associates","divorced","self_employed",110101,"silver",36,3,3,2,2281,0.735,1.027,2735,58,1.071
"active",39,1,"masters","single","full_time",38866,"blue",30,1,2,3,10398,0.157,0.755,7702,81,0.688
"active",50,2,"associates","married","part_time",38440,"blue",44,3,1,2,3386,0.743,0.743,4890,65,0.667
"active",56,2,"associates","married","full_time",50688,"silver",44,6,1,2,4439,0.341,0.752,4532,95,0.696
"active",49,1,"masters","divorced","full_time",89138,"blue",43,1,3,1,34516,0.034,0.725,3941,71,0.821
"active",46,3,"masters","married","part_time",53650,"gold",38,4,3,3,3115,0.365,0.499,3704,70,0.458
"active",56,2,"associates","single","full_time",37093,"blue",36,5,3,4,2500,0.519,0.626,3673,72,0.565
"closed_account",49,2,"associates","married","part_time",32326,"blue",41,5,2,2,3243,0,0.685,6059,71,0.821
"closed_account",36,1,"masters","married","part_time",35131,"blue",29,4,2,3,1493,0,0.721,2516,63,0.575
"active",46,3,"associates","married","full_time",37029,"blue",29,5,1,1,2228,0.65,0.61,4382,83,0.694
"active",44,4,"associates","single","self_employed",145877,"blue",37,5,3,3,8396,0.199,0.602,1475,35,0.75
"active",44,4,"masters","married","full_time",75623,"gold",30,5,1,2,7872,0.319,0.971,1155,32,0.882
"active",47,5,"masters","married","full_time",33356,"blue",42,5,1,2,3111,0.495,0.656,4570,68,0.511
"active",48,3,"associates","single","full_time",30568,"blue",36,3,3,3,1430,0.671,0.544,4182,81,0.723
"active",50,2,"masters","single","full_time",54442,"silver",43,4,1,3,1430,0,1.196,4512,77,0.833
"closed_account",47,4,"bachelors","single","part_time",32450,"blue",36,2,2,3,2263,0,0.752,2385,33,0.375
"closed_account",33,1,"associates","married","part_time",65021,"gold",36,1,3,4,8925,0.019,0.447,741,10,0.429
"active",49,4,"masters","single","part_time",33659,"silver",42,4,3,4,2162,0.87,0.934,3825,70,0.75
"active",51,3,"associates","single","full_time",35833,"silver",39,5,2,1,4038,0.306,0.61,4188,68,0.545
"active",53,2,"masters","single","part_time",44305,"silver",41,2,2,3,15101,0.092,0.692,13545,96,0.655
"closed_account",49,2,"masters","single","part_time",101872,"blue",43,2,3,3,2384,0.805,0.5,3512,50,0.471
"closed_account",50,3,"doctorate","single","full_time",34936,"blue",36,4,3,3,5173,0,0.912,8757,68,0.789
"active",49,2,"masters","married","self_employed",45758,"blue",45,4,2,0,10541,0.132,0.72,4269,92,0.614
"active",43,2,"associates","single","full_time",32846,"gold",35,3,3,4,6109,0.254,0.683,4430,69,0.865
"active",52,4,"masters","married","full_time",37538,"blue",42,5,3,2,1816,0,0.664,4957,78,0.773
"closed_account",54,5,"associates","married","part_time",62865,"blue",36,5,2,3,14539,0,0.907,965,26,0.529
"closed_account",50,1,"doctorate","single","full_time",36572,"gold",46,6,4,3,1970,0.75,0.662,2493,44,0.571
"active",36,5,"associates","married","self_employed",33078,"blue",17,3,1,3,1430,0,1.028,1975,40,0.6
"closed_account",41,2,"associates","single","full_time",35127,"silver",36,4,3,3,2201,0.956,0.648,2408,38,0.583
"active",43,1,"bachelors","married","self_employed",66732,"blue",36,3,3,2,13840,0.078,0.947,4190,74,0.805
"active",46,5,"associates","single","full_time",72668,"blue",41,3,3,4,7478,0.237,0.54,4042,79,0.491
"closed_account",41,2,"associates","single","full_time",36632,"blue",34,1,3,4,1661,0,0.786,2473,49,0.75
"closed_account",41,1,"associates","single","full_time",35311,"blue",36,4,3,2,2372,0,0.597,2499,41,0.464
"active",48,4,"masters","married","self_employed",36566,"silver",31,6,6,4,2646,0.749,0.7,4727,83,0.804
"active",38,3,"associates","married","full_time",34263,"gold",28,4,2,3,2435,0.775,0.922,1847,39,0.696
"active",55,1,"associates","married","part_time",34446,"blue",36,6,6,2,2857,0.881,0.871,1869,47,0.567
"active",56,1,"doctorate","married","full_time",71650,"blue",46,5,2,4,5248,0.346,0.696,2305,45,0.731
"closed_account",45,2,"masters","married","part_time",35989,"blue",40,6,3,3,5848,0.43,0.561,2000,32,0.28
"closed_account",48,3,"masters","divorced","part_time",34188,"blue",36,5,3,1,9943,0.215,0.949,8325,54,1
"closed_account",40,3,"doctorate","married","full_time",47661,"blue",36,3,3,4,2313,0,0.673,2249,42,0.312
"active",51,4,"associates","single","part_time",37019,"blue",37,4,4,2,1765,0.842,0.738,3333,66,1
"closed_account",43,2,"bachelors","divorced","part_time",137605,"blue",37,4,1,2,34516,0,0.536,1370,38,0.357
"active",40,3,"masters","single","full_time",51804,"gold",28,4,1,1,3563,0.479,0.506,1482,42,0.312
"active",46,4,"masters","single","full_time",34860,"silver",39,4,2,3,7128,0.204,0.553,3534,70,0.591
"closed_account",52,3,"associates","single","part_time",51161,"blue",36,2,3,3,1915,0.755,0.374,2264,39,0.56
"active",26,0,"associates","married","full_time",34837,"gold",18,5,3,2,5422,0.126,0.892,4460,62,0.676
"closed_account",48,2,"masters","married","full_time",73238,"silver",35,2,4,4,34516,0,0.763,691,15,0.5
"closed_account",55,4,"associates","married","part_time",40989,"blue",45,2,4,3,2158,0,0.585,615,12,0.714
"active",52,2,"masters","married","full_time",31178,"gold",37,1,3,3,2427,0.973,0.67,4663,85,0.771
"active",50,3,"associates","single","full_time",35101,"blue",43,6,2,1,3199,0.787,0.699,4483,87,0.776
"closed_account",50,4,"associates","married","full_time",34023,"blue",36,1,3,2,3546,0,0.791,2616,47,0.469
"active",49,3,"associates","single","part_time",70764,"blue",40,3,4,2,8190,0.21,0.781,3529,84,0.787
"active",33,3,"masters","married","part_time",35467,"blue",25,3,2,2,2307,0.6,1.515,2440,48,0.846
"active",48,3,"associates","married","part_time",35216,"silver",36,4,1,2,3716,0,0.886,4833,73,0.521
"closed_account",49,1,"associates","single","part_time",161056,"gold",30,5,3,3,5181,0,0.83,8943,68,1
"active",32,0,"bachelors","single","full_time",32728,"gold",24,3,3,4,2917,0.863,0.833,2471,60,0.875
"active",43,2,"associates","single","full_time",36833,"blue",36,3,1,4,2573,0.637,0.873,4094,77,0.638
"closed_account",58,4,"associates","married","part_time",35743,"blue",48,1,4,3,5396,0.334,0.493,2107,39,0.393
"active",59,1,"associates","single","full_time",72227,"gold",45,4,2,4,3943,0.638,0.467,3527,59,0.788
"active",41,2,"bachelors","married","full_time",33344,"silver",36,5,5,1,1430,0,0.686,4565,84,0.714
"active",49,3,"masters","married","self_employed",94010,"silver",40,4,1,3,3660,0.209,0.535,14515,122,0.848
"active",31,2,"associates","single","full_time",105501,"silver",24,6,3,3,34516,0.034,0.801,2329,69,0.605
"closed_account",43,2,"masters","single","self_employed",95237,"blue",30,3,3,3,34516,0,0.688,2427,51,0.645
"closed_account",47,3,"masters","single","part_time",35209,"silver",36,5,3,4,7246,0,0.612,777,13,0.625
"active",39,2,"masters","single","full_time",54559,"blue",26,6,3,2,6423,0,1.051,4295,70,0.795
"active",46,3,"masters","divorced","full_time",91261,"gold",40,6,3,3,3673,0.624,0.637,1257,34,0.545
"closed_account",38,1,"associates","married","part_time",36456,"silver",28,3,3,3,4196,0.174,0.485,1868,30,0.2
"closed_account",41,4,"associates","single","part_time",37914,"blue",36,6,2,3,4203,0.599,0.771,1489,43,0.536
"closed_account",54,2,"associates","single","self_employed",54530,"blue",50,2,1,3,3682,0.684,0.379,1642,35,0.25
"closed_account",30,2,"masters","married","full_time",37688,"blue",18,1,1,3,10017,0.072,0.924,9299,68,0.619
"active",48,1,"associates","married","full_time",70578,"silver",36,6,4,4,14228,0.137,0.651,1970,51,0.645
"active",50,3,"associates","divorced","self_employed",141829,"silver",37,3,1,2,3073,0.583,1.099,1734,35,1.188
"closed_account",54,1,"masters","single","full_time",36625,"silver",34,5,2,2,2939,0.732,0.555,2476,42,0.355
"active",56,2,"associates","married","full_time",75989,"silver",45,4,3,0,5406,0.33,0.976,1407,29,0.812
"active",58,4,"masters","married","full_time",130221,"blue",45,4,2,3,34516,0,0.849,15560,100,0.724
"active",44,3,"associates","married","part_time",70416,"gold",36,6,2,3,2675,0,0.7,4149,79,0.717
"active",40,3,"bachelors","single","full_time",36108,"gold",28,2,3,1,2321,0.513,0.736,5149,98,0.661
"active",44,4,"bachelors","married","full_time",73759,"silver",28,4,2,2,2748,0.32,0.633,3383,67,0.558
"active",48,5,"masters","single","part_time",32635,"gold",38,5,3,2,1605,0.81,0.95,4495,67,0.718
"active",41,5,"masters","married","self_employed",69313,"blue",36,4,4,3,4575,0.294,0.46,4726,64,0.561
"active",51,3,"associates","single","full_time",35347,"blue",36,5,3,3,3747,0.605,0.709,4609,87,0.74
"active",41,3,"doctorate","single","part_time",66277,"blue",30,4,1,3,13602,0,0.699,3582,69,0.683
"active",48,3,"associates","single","part_time",45839,"blue",36,5,3,3,1906,0.661,0.932,4634,54,0.862
"closed_account",39,4,"masters","married","part_time",67069,"blue",36,4,3,2,34516,0.073,0.841,8248,66,0.65
"active",46,1,"masters","married","self_employed",36017,"blue",34,1,3,1,2762,0.649,0.901,5006,78,0.66
"active",40,3,"masters","single","part_time",101845,"silver",34,3,3,4,22380,0.055,0.884,3756,73,0.78
"active",54,2,"masters","married","self_employed",50123,"blue",41,3,1,3,7362,0.16,0.735,17390,130,0.688
"active",47,3,"masters","married","full_time",102307,"blue",42,6,3,3,13189,0.091,0.708,3821,83,0.66
"active",40,3,"associates","divorced","part_time",75891,"silver",36,3,1,2,16268,0.155,0.652,15925,124,0.824
"active",39,2,"doctorate","married","full_time",67974,"gold",36,5,2,4,8058,0.098,1.787,2742,42,2
"active",50,2,"masters","married","full_time",118916,"gold",37,6,2,1,1430,0.599,0.65,1391,40,0.212
"active",40,4,"associates","married","full_time",35831,"silver",29,2,3,3,3326,0.656,0.827,13583,110,0.746
"active",55,1,"bachelors","single","part_time",35086,"gold",36,3,1,3,12633,0.131,0.718,14378,98,0.69
"active",50,3,"doctorate","single","full_time",33762,"blue",39,6,1,3,9966,0,0.966,4401,60,1.069
"active",31,0,"masters","single","full_time",39046,"gold",18,3,2,0,3934,0.486,0.723,4143,82,0.864
"closed_account",40,3,"masters","divorced","full_time",116921,"blue",22,2,2,3,1925,0,0.672,781,28,0.75
"active",38,3,"masters","married","full_time",113202,"blue",26,6,1,3,32866,0.064,0.549,3788,76,0.689
"active",42,3,"associates","married","full_time",34274,"gold",36,6,2,2,5821,0,0.859,4591,70,1.188
"closed_account",62,2,"masters","married","full_time",34062,"blue",52,4,2,2,2490,0.206,0.678,864,20,0.333
"closed_account",41,3,"associates","married","full_time",141122,"blue",32,2,2,1,34516,0,0.965,4734,57,0.541
"active",36,2,"bachelors","single","full_time",34934,"silver",24,6,3,3,3448,0.552,0.841,5471,87,0.642
"closed_account",46,3,"masters","married","full_time",37044,"blue",41,5,3,2,4710,0,0.717,2690,43,0.955
"closed_account",53,2,"masters","married","part_time",124176,"blue",36,1,3,2,12778,0.04,0.967,1133,28,0.4
"closed_account",52,2,"masters","single","full_time",151514,"silver",41,1,3,1,31668,0.026,0.643,1822,36,0.5
"closed_account",59,2,"associates","married","full_time",34875,"blue",51,5,5,4,1430,0,0.656,2146,44,0.63
"closed_account",47,2,"masters","divorced","part_time",87588,"blue",41,3,2,3,4586,0,0.812,2529,43,0.433
"closed_account",47,3,"masters","married","full_time",31199,"blue",36,3,3,1,5590,0,0.01,1507,32,0
"active",46,2,"bachelors","divorced","self_employed",96926,"blue",30,3,3,3,2770,0.464,1.068,2920,74,0.721
"active",56,2,"masters","single","self_employed",120442,"silver",51,1,1,2,4675,0.287,0.68,8037,100,0.852
"closed_account",48,4,"masters","single","self_employed",33627,"blue",37,5,3,4,15987,0,0.827,7681,71,0.69
"active",43,3,"masters","married","part_time",45528,"gold",32,3,2,4,4391,0,0.757,4741,78,0.814
"closed_account",47,3,"masters","married","part_time",39020,"blue",38,2,2,3,3165,0.795,0.748,2751,49,1.042
"closed_account",49,4,"masters","single","part_time",36969,"blue",37,1,2,2,10195,0.234,0.427,1563,36,0.44
"closed_account",42,2,"associates","single","full_time",66235,"blue",30,2,2,3,6414,0,0.718,708,14,0.4
"active",49,3,"masters","single","self_employed",57121,"silver",32,1,3,3,5400,0.264,0.595,4643,80,0.702
"closed_account",55,1,"bachelors","single","full_time",34833,"blue",48,3,5,3,2114,0.258,0.619,2578,42,0.75
"active",44,3,"associates","divorced","full_time",64469,"blue",36,4,3,1,22919,0.06,0.942,3752,71,0.919
"closed_account",59,1,"masters","single","full_time",93094,"blue",54,2,5,4,15633,0,0.984,8660,58,0.758
"closed_account",46,3,"associates","single","full_time",35550,"blue",41,2,3,4,3313,0,0.561,2135,44,0.419
"active",43,2,"associates","single","part_time",47342,"gold",36,4,4,1,8406,0,0.743,3820,75,0.63
"active",47,3,"masters","married","self_employed",66997,"gold",36,2,1,2,21331,0.059,0.949,1460,50,1.083
"active",51,4,"masters","single","full_time",32971,"blue",36,4,3,1,2522,0.753,0.674,4122,67,0.763
"active",51,3,"bachelors","married","full_time",103441,"blue",40,6,3,3,1844,0.668,0.588,4182,71,0.651
"active",49,5,"masters","married","self_employed",48989,"silver",39,3,1,4,4568,0,0.979,1431,27,0.688
"active",37,2,"associates","single","part_time",34853,"gold",36,6,2,4,3586,0.394,0.745,2780,57,0.727
"active",45,4,"associates","married","full_time",77481,"blue",33,5,2,4,25907,0.029,0.607,2058,56,0.806
"closed_account",42,4,"masters","married","full_time",68838,"blue",36,3,2,2,6743,0.258,0.598,1934,30,0.579
"closed_account",61,0,"associates","married","part_time",31042,"blue",47,1,3,4,4130,0,0.814,2418,57,0.781
"closed_account",48,4,"associates","married","full_time",37286,"blue",37,1,2,3,3607,0,0.504,2013,35,0.458
"closed_account",52,2,"associates","married","part_time",75705,"blue",40,3,4,2,23128,0.085,0.604,2050,35,0.667
"closed_account",31,0,"masters","divorced","part_time",32662,"blue",36,6,3,3,4871,0,0.89,2773,34,0.789
"active",39,2,"masters","married","part_time",53711,"silver",29,3,5,2,4955,0.234,0.896,1824,38,0.727
"closed_account",52,3,"masters","married","part_time",33919,"blue",39,3,3,2,4173,0.424,0.711,2554,47,0.516
"active",42,3,"masters","single","full_time",116959,"silver",33,3,3,2,3714,0.584,0.524,1454,35,0.522
"active",50,3,"masters","single","full_time",33265,"blue",36,6,5,2,7596,0.152,0.611,4338,73,0.738
"active",47,4,"associates","married","full_time",34708,"silver",39,6,4,0,1537,0,0.712,4234,75,0.786
"active",47,3,"associates","married","part_time",35827,"gold",27,5,3,4,14335,0.065,0.445,3610,75,0.531
"active",34,2,"masters","single","self_employed",137838,"silver",27,3,1,4,31313,0.069,0.679,2555,62,0.676
"closed_account",61,2,"masters","married","full_time",162607,"blue",49,3,0,4,11374,0.221,1.015,1088,26,1.167
"active",52,0,"associates","married","full_time",69047,"blue",36,3,3,2,22720,0.035,0.685,1102,27,0.286
"active",42,3,"associates","single","part_time",36580,"blue",34,1,3,1,2798,0.375,0.89,5758,87,0.706
"active",52,2,"masters","single","full_time",47173,"blue",45,3,1,3,3476,0.449,0.894,3496,58,0.871
"active",37,1,"bachelors","single","full_time",54737,"silver",32,4,2,3,1976,0,0.812,4424,73,0.659
"active",47,4,"masters","married","full_time",35936,"blue",36,6,1,4,2178,0.668,1.001,5363,76,0.81
"active",63,0,"masters","single","part_time",32220,"silver",48,5,2,1,1430,0,0.923,3383,61,1.103
"active",52,0,"masters","single","full_time",40661,"blue",36,3,4,1,12366,0,0.738,4880,76,0.9
"active",50,4,"masters","married","full_time",107811,"blue",39,3,1,2,11900,0.151,0.651,14666,101,0.98
"active",42,3,"masters","married","self_employed",41209,"blue",36,3,1,2,3433,0.544,0.838,4504,84,0.787
"active",53,3,"masters","married","full_time",53198,"blue",45,4,3,1,1972,0,0.761,5085,73,0.587
"closed_account",44,5,"masters","married","part_time",37130,"blue",39,6,3,2,1545,0,0.749,2646,39,0.444
"closed_account",54,1,"masters","divorced","full_time",93776,"silver",44,1,3,3,9580,0.014,0.32,5385,51,0.308
"closed_account",58,1,"bachelors","single","full_time",137715,"gold",45,1,3,2,34516,0,0.964,4864,48,0.548
"active",52,1,"associates","single","self_employed",34418,"blue",36,3,3,3,2340,0.471,0.766,4501,68,0.7
"active",37,3,"bachelors","married","self_employed",33576,"blue",27,4,2,0,1430,0.478,0.778,4621,73,1.147
"active",26,0,"associates","single","part_time",37280,"silver",13,4,3,3,3038,0.481,0.98,2243,38,0.462
"closed_account",43,2,"bachelors","married","full_time",32839,"blue",36,5,2,3,4020,0,0.563,1952,39,0.345
"active",45,4,"associates","married","full_time",65468,"blue",36,6,3,3,23000,0.048,1.095,3886,70,0.667
"closed_account",42,4,"associates","married","full_time",67806,"silver",36,4,3,4,1871,0,0.73,2593,48,0.548
"closed_account",41,2,"masters","single","part_time",71413,"gold",36,2,3,3,34516,0.02,1.015,4822,57,0.295
"closed_account",35,2,"masters","single","part_time",35918,"gold",36,5,3,3,1931,0,0.862,2482,40,0.6
"closed_account",47,3,"associates","single","self_employed",73528,"silver",36,3,2,4,1659,0.931,0.408,1920,39,0.345
"active",44,2,"associates","married","full_time",37611,"blue",34,5,1,3,3226,0.78,0.818,4317,81,0.884
"closed_account",40,2,"bachelors","single","full_time",34989,"blue",36,6,1,3,2387,0.843,0.449,2134,41,0.952
"closed_account",38,4,"masters","married","full_time",56031,"blue",33,4,3,1,4047,0,0.648,2134,34,0.478
"closed_account",38,3,"masters","married","self_employed",35350,"blue",36,3,2,3,2300,0,0.703,2500,47,0.119
"active",62,0,"masters","married","part_time",66628,"blue",36,6,3,3,3674,0.244,0.658,1703,48,0.371
"active",46,1,"associates","single","full_time",34081,"silver",39,2,2,1,2029,0.529,0.514,4802,90,0.8
"active",42,3,"associates","married","self_employed",75201,"gold",25,6,2,3,13546,0.127,0.538,3943,73,0.698
"closed_account",49,2,"associates","divorced","full_time",50238,"blue",39,2,3,4,14839,0.035,0.176,1453,26,0.13
"closed_account",49,0,"associates","single","self_employed",38780,"silver",44,3,3,2,2094,0,0.897,2690,46,0.484
"active",42,3,"associates","single","self_employed",48252,"blue",29,6,3,2,1545,0.486,0.551,4477,62,0.59
"active",53,3,"associates","married","self_employed",37447,"gold",37,3,2,4,7202,0.135,0.517,1397,33,0.5
"active",48,3,"associates","single","full_time",34288,"gold",40,1,3,3,3520,0.611,0.539,3630,78,0.696
"closed_account",57,2,"associates","single","full_time",32205,"gold",51,3,5,2,1614,0,0.241,1690,38,0.357
"closed_account",42,1,"associates","married","part_time",49516,"blue",36,5,3,2,2705,0.898,0.698,2602,43,0.433
"active",49,1,"doctorate","married","full_time",72113,"silver",36,4,6,3,24159,0.05,0.712,1111,24,1
"active",48,4,"associates","single","full_time",55893,"silver",38,6,3,2,8327,0.186,0.463,4428,82,0.822
"closed_account",45,2,"bachelors","single","full_time",66805,"gold",29,3,2,4,3841,0,0.794,2832,48,0.846
"closed_account",45,3,"associates","single","full_time",129124,"blue",35,2,3,5,7135,0.353,0.631,2305,42,0.448
"active",39,1,"associates","single","part_time",32675,"blue",33,6,3,2,2292,0.802,0.675,4043,72,0.674
"closed_account",49,3,"associates","single","full_time",34441,"blue",36,4,2,3,3855,0.055,0.485,1724,34,0.308
"active",36,2,"associates","married","full_time",34142,"blue",31,3,2,1,2754,0.653,0.769,3937,70,0.628
"active",49,5,"associates","married","self_employed",87267,"blue",30,3,3,2,34516,0.051,0.767,15134,124,0.722
"active",45,4,"bachelors","divorced","full_time",36837,"blue",39,5,1,2,4948,0.334,0.562,3711,64,0.524
"closed_account",53,3,"associates","single","part_time",33843,"gold",35,6,3,1,9786,0,0.701,820,25,0.562
"active",56,1,"masters","single","full_time",71141,"silver",36,5,3,2,7075,0.237,1.268,4160,75,0.667
"closed_account",46,3,"bachelors","married","part_time",34652,"silver",36,2,3,4,1804,0,0.537,2077,44,0.419
"closed_account",42,3,"masters","married","part_time",36054,"silver",35,2,4,3,5230,0.481,0.937,9495,61,0.605
"closed_account",37,3,"bachelors","married","part_time",74335,"blue",19,2,3,4,3100,0.812,0.35,694,12,0.2
"active",49,4,"associates","single","part_time",35302,"blue",35,5,2,2,5195,0,1.135,3313,69,0.769
"closed_account",46,3,"associates","married","self_employed",51785,"blue",34,2,3,2,8583,0,0.358,1794,31,0.292
"active",49,2,"associates","married","full_time",35194,"blue",39,5,3,1,2992,0.617,0.707,4339,84,0.75
"closed_account",45,2,"masters","married","full_time",34885,"blue",25,3,2,3,5911,0.155,0.471,1656,31,0.722
"active",57,2,"associates","single","self_employed",36179,"blue",46,5,2,2,5443,0.347,0.421,4416,64,0.6
"closed_account",44,3,"masters","married","part_time",34088,"blue",36,3,4,6,2279,0.806,0.853,2789,52,0.677
"closed_account",45,3,"bachelors","single","part_time",37027,"blue",33,5,3,4,4345,0.506,0.465,1918,31,0.292
"closed_account",47,2,"masters","married","part_time",94578,"blue",36,1,3,2,18799,0.134,0.813,2315,52,0.625
"closed_account",40,3,"masters","single","part_time",35640,"silver",36,5,3,1,1516,0,0.737,2709,54,0.385
"closed_account",43,2,"associates","married","full_time",65324,"blue",24,2,3,3,14447,0,0.856,915,29,2.222
"active",46,2,"masters","married","full_time",35014,"blue",40,4,5,3,3131,0,0.811,4507,93,0.632
"closed_account",40,2,"masters","single","full_time",65599,"blue",27,6,2,3,12283,0,0.413,1993,41,0.323
"closed_account",40,3,"masters","married","part_time",72676,"gold",33,5,3,6,5500,0.08,0.609,7720,67,0.558
"active",40,4,"masters","divorced","self_employed",145691,"blue",30,5,3,3,25188,0.051,0.557,1513,38,0.583
"closed_account",46,3,"masters","married","self_employed",35328,"blue",34,3,3,1,1430,0,0.714,2658,43,0.654
"closed_account",49,4,"associates","married","full_time",36187,"blue",39,6,3,2,3468,0.726,0.746,2494,39,0.345
"active",50,2,"associates","married","full_time",36322,"silver",36,3,1,3,3397,0.488,0.724,4208,75,0.786
"closed_account",46,4,"masters","single","full_time",99830,"blue",36,3,1,4,1818,0,0.672,2308,44,0.467
"active",55,2,"bachelors","single","full_time",34816,"silver",36,3,3,2,1886,0.542,0.708,4233,81,0.884
"active",47,2,"masters","married","part_time",65808,"blue",34,3,2,4,4249,0.368,0.773,1881,49,0.815
"closed_account",53,4,"associates","single","full_time",61922,"gold",43,1,3,2,13720,0,0.671,1830,36,0.241
"closed_account",60,0,"associates","single","part_time",52992,"blue",55,1,5,5,10882,0.231,0.266,1861,46,0.278
"active",54,3,"associates","single","full_time",34769,"gold",47,3,3,3,7477,0.262,1.008,3618,76,0.583
"active",47,3,"associates","single","part_time",68621,"blue",36,3,3,2,17656,0,0.727,4633,71,0.868
"active",40,3,"masters","married","full_time",69710,"blue",36,4,4,4,2223,0.269,0.572,3331,67,0.675
"active",54,2,"masters","divorced","full_time",110526,"blue",48,2,3,2,29974,0.071,0.925,15190,115,0.855
"closed_account",53,3,"masters","single","full_time",35263,"blue",34,5,3,5,1430,0.716,0.609,1985,38,0.407
"closed_account",45,5,"associates","divorced","part_time",128031,"gold",36,2,3,2,5287,0,0.841,8392,69,0.683
"closed_account",40,3,"associates","single","part_time",36604,"gold",36,3,2,2,3698,0.129,0.611,2051,31,0.632
"closed_account",47,2,"masters","divorced","part_time",87588,"blue",41,3,2,3,4586,0,0.812,2529,43,0.433
"active",45,4,"bachelors","married","full_time",31928,"blue",36,5,2,3,4187,0.525,0.908,4647,81,0.884
"active",53,1,"masters","married","full_time",36603,"blue",39,5,2,4,2590,0.604,0.386,1188,40,0.6
"closed_account",41,3,"doctorate","single","part_time",135687,"blue",26,3,2,2,9220,0,0.733,2276,32,0.6
"closed_account",44,2,"doctorate","married","part_time",84412,"silver",38,1,2,1,25894,0.097,1.046,4847,49,0.815
"closed_account",40,2,"associates","married","full_time",66220,"blue",29,3,2,2,6332,0.05,0.783,2505,43,0.536
"closed_account",50,0,"doctorate","single","part_time",34489,"silver",38,4,3,3,2595,0.907,0.924,2526,41,0.577
"closed_account",45,2,"doctorate","married","part_time",39438,"gold",31,4,3,4,2704,0.837,0.87,2362,39,0.444
"active",39,0,"doctorate","single","full_time",75428,"silver",33,6,2,0,10452,0.107,0.802,3592,79,0.795
"active",40,2,"masters","married","full_time",34350,"silver",34,3,3,3,4757,0.416,0.959,4220,71,0.775
"closed_account",53,1,"masters","single","full_time",100990,"silver",48,3,3,3,30271,0.046,1.336,3231,47,0.306
